id	aminer_id	title 
21	bdbb9dc3-a8f0-4891-bcc4-83e28703a7e4	SOME PROPOSITIONAL CALCULI WITH CONSTANT AND VARIABLE FUNCTORS	
22	55f0f396-2adc-4c69-b3f8-bfdea827d06c	Formalisations of Many-Valued Propositional Calculi with Variable Functors	
23	51631753-8a89-4621-bea7-5a687b30b9f1	A Formalisation of an ℵ0-Valued Propositional Calculus with Variable Functors	
24	f2a09fb8-cce9-4b3c-9a63-f4403fb648bf	ALGOL 60 confidential	
25	d9df3b5e-fb3d-4119-9205-5dca676bde06	Algorithm 175: shuttle sort	
26	b4f38f0f-5538-42bf-b23e-5ee2f019f622	Letters to the editor: on the development of a new common computer languages	
27	a9bf5c94-9e22-4dfc-a932-2ebc936263db	On declaring arbitrarily coded alphabets	
28	84f13f58-f7c3-489f-b7d4-ce5b91703bbf	Jovial and its documentation	
29	9ee9e5f3-c9a8-4814-8075-c17a47ed9a25	Innovation exploitation, exploration and supplier relationship management	
30	6a259250-5ef1-428f-b1f2-ef678d0318f8	Homogeneity and heterogeneity in information technology private standard settings - the institutional account	
31	2f24ecf4-c6cc-4232-8dc4-fee6ff864394	Incorporating competitive advantage into the process technology investment decision	
32	6130a57e-198c-435a-9429-eb4f55833b37	Study on Single Sheet Separation from Stacked Flexible Sheets	
33	c226d88f-051c-4154-98fb-76fd6ea4fc33	360-degree autostereoscopic display	
34	c2b59b49-0c7a-4cce-8038-e9abb0cea4e1	Gamepad vs. touchscreen: a comparison of action selection interfaces in computer games	
35	2f255de0-592e-44dc-a61c-1081e248ea55	Real-time generation of 3D dance animation using a musical keyboard	
36	2f2567bd-662a-49b9-8e00-53bb8d434933	Immobilization of Acetylcholinesterase on Screen-Printed Electrodes. Application to the Determination of Arsenic(III)	
37	2f258226-eb52-41c3-b42e-16c250b62141	Discovering causal rules in relational databases	
38	2f2588d4-609a-49ea-ac38-b7fc5303eaaf	Numerical study of an actively harmonic mode-locked fiber ring laser with SOAs	
39	f8222441-fda6-49d4-b1c5-88edaf7c675c	A Multi-layered Model for Scalable Group Communication in P2P Overlay Networks	
40	a876f34a-2727-474d-b2ed-018b331e1011	A Scalable Communication Protocol for Multi-layered Groups	
41	ac66f29d-72ce-45cf-93c0-a46178963443	A Scalable Hybrid Time Protocol for a Heterogeneous Group	
42	09038119-9f74-4cec-aaaa-dcab070c1bff	A Multi-layered Communication Model with Hybrid Clocks in P2P Overlay Networks	
43	e3f2536f-814c-4962-abf1-569a25c272b6	Hybrid Clock-Based Synchronization in a Scalable Heterogeneous Group	
44	dd5f03ec-1ce1-46fd-8836-b9ab7a7c103b	A flexible group communication protocol with hybrid clocks	
45	cdc4294e-662b-4ee0-8beb-37ba342c1960	A multi‐layered model for scalable group communication with hybrid clocks	
46	860cca08-009d-4df5-8922-2dedd8beef16	Design and Implementation of Hybrid Time HT Group Communication Protocol for Homogeneous Broadcast Groups	
47	6886bad1-32e2-4783-9aa2-1db8eb62ad8d	A two-layered model for scalable, heterogeneous group communications	
48	608057c3-e3d3-4340-b4de-6a5e436f9239	Reduction of Messages Unnecessarily Ordered in Scalable Group Communication	
49	49fe0354-ed59-43ef-ba65-8fce8a1436a9	A Scalable Peer-to-Peer Group Communication Protocol	
50	2f259cfd-5f9a-4eda-819e-ee0add9c81ff	A scalable group communication protocol with hybrid clocks	
51	e028ac09-4b5e-471d-9b21-2d62b0a0b7f3	Practical extraction techniques for Java	
52	2f25a492-6939-40cc-92ec-1cfb376eae8b	Practical experience with an application extractor for Java	
53	2f25bb1d-9a57-4536-87f0-1d91ebfee3d5	Quantifying Pituitary-Adrenal Dynamics and Deconvolution of Concurrent Cortisol and Adrenocorticotropic Hormone Data by Compressed Sensing	
54	36c07477-81f0-408f-b173-df92253faf62	The equational theory of regular words	
55	2f25c3b0-14a0-4e82-bc8b-f6610eca349f	The FC-rank of a context-free language	
56	f892f637-ff27-4a0d-8048-dd9747b54f65	Investigation of MAC for a Hierarchical and Heterogeneous Multichannel Ad Hoc Network	
57	54b97ebd-e2d5-4a67-a207-513945d7c23a	A channel-access protocol to utilize multiple heterogeneous channels for ad hoc networks	
58	2f25d742-121f-4c42-9462-4abf32cbd331	Utilization of channel properties for channel access in ad hoc networks with heterogeneous channels	
59	b4a308d6-c3f7-4404-a760-04d19e075417	Exploring the role of requirements engineering in improving risk management	
60	70fd4f58-4685-4131-9a15-f7fc1534b44f	An Empirical Study of the Complex Relationships between Requirements Engineering Processes and Other Processes that Lead to Payoffs in Productivity, Quality, and Risk Management	
61	493fd5f9-679e-412d-986b-48805b8a13ff	Global software development: building a research community	
62	24636545-e2ac-4f17-80f3-47f04066040d	An industrial case study of the impact of requirements engineering on downstream development	
63	2f2654e6-ba8a-4e61-8a51-c51c0042206d	Requirements Engineering and Downstream Software Development: Findings from a Case Study	
64	e5499525-d8d7-4222-9da8-a5729bf9248a	An industrial experience in process improvement: an early assessment at the Australian Center for Unisys Software	
65	9ff3f1fd-599b-47ca-a7a1-1f2ffc7aa24c	An Industrial Case Study of Immediate Benefits of Requirements Engineering Process Improvement at the Australian Center for Unisys Software	
66	51850023-8518-419a-8944-bd653d04899d	A selective fuzzy ARTMAP ensemble and its application to the fault diagnosis of rolling element bearing	
67	704d73c6-c125-4502-a9ac-199da0c0166b	Application of a modified fuzzy ARTMAP with feature-weight learning for the fault diagnosis of bearing	
68	544731ec-7709-41ec-a92e-ff689cf403c8	A novel fault diagnosis method of bearing based on improved fuzzy ARTMAP and modified distance discriminant technique	
69	2f269647-c3ba-421f-8c8e-4c5be2622bff	Reliable fault diagnosis method using ensemble fuzzy ARTMAP based on improved Bayesian belief method	
70	094466a2-d263-47f8-ae1c-86cb73a681d9	Circuit Implementation of Data-Driven TSK-Type Interval Type-2 Neural Fuzzy System With Online Parameter Tuning Ability	
71	2f26e1a8-2b02-418e-b5e0-e7dc41aec9ca	Reduced Interval Type-2 Neural Fuzzy System Using Weighted Bound-Set Boundary Operation for Computation Speedup and Chip Implementation	
72	2f26f969-d37d-4293-ad5f-c76e7a7e529a	Query optimization on local area networks	
73	8cef02b3-e7c9-48a2-96b9-71f3f37e882e	Constant principal strain mappings on 2-manifolds.	
74	2f26fdce-cfe3-4328-9258-ff7380614d68	Boundary behavior of solutions of a class of genuinely nonlinear hyperbolic systems	
75	2f271934-e938-47e3-9e00-3b2a69bfa0a5	A network-centric approach for access and interface selection in heterogeneous wireless environments	
76	4f83a6ce-28da-4546-b7ce-020c369eb25f	Development and validation of the GCOM-W AMSR2 soil moisture product	
77	e2acc575-1d15-4776-9ab3-bf48b3459321	An algorithm for graph optimal monomorphism	
78	a71d502a-01b6-45da-9e2f-659ce52d3271	An observing system simulation experiment for hydros radiometer-only soil moisture and freeze-thaw products	
79	7cc4ab79-595b-402c-a3d2-5e155ad1034a	A Greedy Renormalization Method for Arithmetic Coding	
80	71de9ac8-11c3-47ed-bc8e-3d9a2ae7fdc9	Passive and Active L-Band System and Observations during the 2007 CLASIC Campaign	
81	5c88d893-b3a4-46e7-9028-d201196d5696	Impact of Rainfall on the Retrieval of Soil Moisture using AMSR-E Data	
82	4000e8bb-a347-4021-8b27-98bb94a6487a	Evaluation of SMAP level 2 soil moisture algorithms using SMOS data	
83	27203d5f-2e6b-4ba3-9ba8-3eb02c259758	Speeding up arithmetic coding using greedy re-normalization	
84	1601c388-fa05-4574-80cf-31059658611d	A method for deriving land surface moisture, vegetation optical depth, and open water fraction from AMSR-E	
85	a6de2184-439e-48c5-91c5-f5640db19259	Pattern detection in biomolecules using synthesized random sequence	
86	2f2781f1-5c32-41e0-94c1-9173feda8f0c	Forward simulations of passive microwave observations for the soil Moisture Active Passive (SMAP) mission	
87	a041d49f-df1b-4246-8009-1c916b9288a9	Cross-Layer Scheduling for Multiple Video Streams over a Hierarchical Emergency-Deployed Network	
88	725fa952-0d3d-49fa-8f39-30d38b0e6c25	Cross-Layer Radio Resource Allocation for Multicarrier Air Interfaces in Multicell Multiuser Environments	
89	1162bd81-4c0c-4e23-a691-c612719b9d42	A Novel Distributed Interference Mitigation Technique using Power Planning	
90	b43be770-3ad6-400e-b5b0-2f5af9cb41ba	Position-based power planning for fair resource allocation in LTE-A	
91	b505021e-4be8-4f0a-ab25-489abcf2decb	Performance Evaluation of Downlink Interference Coordination Techniques in LTE Networks	
92	2f279849-01ef-4859-9fc1-d58a994e66e8	Cross‐layer scheduling over a heterogeneous opportunistic emergency‐deployed wireless network	
93	641dbf5f-7fed-4a3a-8c31-63651fe8b53f	Optimale Regelung linearer, zeitvarianter Deskriptorsysteme	
94	3a6d8ef1-0330-427a-8864-8023e9c5dc71	Attractive invariant submanifold-based coupling controller design	
95	2f280fad-3a7e-4129-98c8-a642ea3e79ce	Verkopplungsbasierte Methode zur Entkopplung nichtlinearer Deskriptorsysteme	
96	70a0b6b4-6146-4f9f-b8a8-393acafde049	Simple Iterative Near-ML Detection for D-STTD Systems	
97	66fbeac2-1294-44ba-97d4-a44d3b409794	Low-complexity joint DOA/TOA estimation algorithm for mobile location	
98	2f5317ec-d9d2-4cc9-ad77-f7f22cfee5c8	A novel location finding system for 3GPP LTE	
99	d9251064-d34a-44aa-b668-99b4962266e9	Analysis of Cramer-Rao Lower Bound for time delay estimation using UWB pulses	
100	d4bc672a-aa4d-41ba-b373-3752f1b8e5b2	A Computationally Efficient Ranging Scheme for IEEE 802.15.4a CSS System	
101	be128c3d-7d13-4e5a-94e0-17fd49ab300d	Efficient indoor ranging algorithm using chirp signalling	
102	43e3322e-6a3e-450b-9cc7-73df6660689c	Triangular mesh offset for generalized cutter	
103	2f2861e3-3987-4bb7-a1d3-0fa32b48ee93	Performance analysis of pulse designed for the IEEE 802.15.4a standard	
104	877a5eab-7dc1-40af-afa2-ee932b9dc19d	A hierarchical wind driven optimization method for solving the bi-level programming problem	
105	ed37006f-519a-42f8-830e-6891f59980ad	Stability Number and k-Hamiltonian [a, b]-factors.	
106	c40c19c7-709e-4b76-8ee4-7b867442f648	Rewriting yeast central carbon metabolism for industrial isoprenoid production	
107	3b17921f-1198-485c-ae12-81829f6d5176	Preface: The variational iteration method: Reliable, efficient, and promising	
108	b0a7564c-4090-4c3a-a437-7fc5e810ad22	Adaptive wavelet denoising system for speech enhancement	
109	94f1ffa8-8ba3-4787-8978-c6618f97edee	The Application Layer Protocol Identification Method Based on Semisupervised Learning	
110	2abd4d97-9a51-4635-991e-7bc1d327716a	The impacts of customer participation and company reputation on customer-company identification	
111	ebcd063d-6d4d-41f7-a55c-5e115004305d	Inhibition of ppGalNacT2 at Protein Level Contributes to Vanadium Induced HL-60 Cell Apoptosis	
112	e0f3a5f0-e205-46bf-a494-0338f865488f	Numerical study of magnetic electrospinning processes	
113	c2d1011e-785e-4566-be2f-55ac72e46a8d	Theoretical model for the electrospinning nanoporous materials process	
114	b7b5e636-1071-4acb-b4da-343affefc041	The Nordhaus–Gaddum-type inequalities for the Zagreb index and co-index of graphs	
115	83bb9559-4850-473e-b506-71f901b84b55	Variational iteration method for solving integral equations	
116	737cb513-a6bc-4a59-94bb-e9500832ced2	Acyclic edge coloring of planar graphs with large girth	
117	6d657f58-aebe-45dc-86d5-b892c078e853	He's homotopy perturbation method for a boundary layer equation in unbounded domain	
118	65b1a8d6-c7df-4a1c-b83e-bd5f91b74ddf	On the Co-PI and Laplacian Co-PI eigenvalues of a graph	
119	47d32b6f-03ed-42ed-aade-991fd0dce737	ADJSA: an adaptable dynamic job scheduling approach based on historical information	
120	38912bd2-a0cd-4d03-9c96-4335f9d927ca	Topological indices of the line graph of subdivision graphs and their Schur-bounds	
121	3655fc90-e6b7-4d87-94f0-3e20da5d1701	Transformation graph G	
122	2f28bd7d-3755-44f8-9e91-2080358dbfc7	A variational approach to analyzing catalytic reactions in short monoliths	
123	5bd36e6d-2daa-48e1-b451-18fea2a10ce0	A Simulated Annealing Algorithm for Maximum Common Edge Subgraph Detection in Biological Networks	
124	2e3d84d8-5417-400a-a0d4-4e83ec7739ed	KeyPathwayMinerWeb: online multi-omics network enrichment	
125	aeb38cf5-3f71-4e9b-86e8-28f096749809	KeyPathwayMiner 4.0: condition-specific pathway analysis by combining multiple omics studies and networks with Cytoscape	
126	2f28ed3c-382f-4719-8b1a-d0749a289c43	KeyPathwayMiner: Detecting Case-Specific Biological Pathways Using Expression Data	
127	f0ea92c1-8124-416a-aeab-748173141d4f	Information and Communication Technology ICT Training among Lecturers in the South-South Zone in Nigeria by the Nigeria Communication Commission NCC	
128	87caa6d3-95ae-4702-b043-cd09a0cb7845	Perceptions and Attitude of Students in Relation to Vandalism in University Libraries in South-South Zone of Nigeria	
129	2f28f897-2441-478f-be29-14c43c81e80d	Role of Public Libraries in Bridging the Digital Divide	
130	77325b37-cd47-4713-be4f-0e9f2d2077de	Technostress: Effects and Measures Among Librarians in University Libraries in Nigeria	
131	e955f3fd-ef6b-4cdf-b388-1bf024b312be	Towards a unified visual database access	
132	7568131a-af3c-4e61-88db-f56eb18a0efe	Robust switching vector median filter for impulsive noise removal	
133	72458a9f-c3d4-4736-851b-ba6d4f27faf3	Evaluating strategies and systems for content based indexing of person images on the Web	
134	2f2989d8-6a3a-4861-94ec-aac81879bdd4	Diogenes: a web search agent for person images	
135	a183b2e3-490f-45af-91aa-4853719b06aa	A Restorative Self-Healing Algorithm for Transmission Systems Based on Complex Network Theory	
136	8f743b77-295a-4f97-b81f-b3dabfc692dc	Application of Emergency-Single Machine Equivalent method for cascading outages	
137	2f29aa0e-6a7b-4520-81d1-64d1b61caee7	Transient stability assessment of controlled islanding based on power flow tracing	
138	72f0df5e-7a12-442c-ab42-366a700cbdad	Research on Elasto-plastic Contact with Friction Multipole BEM and Rolling Process	
139	6a439d4c-9435-4850-a364-74c81a9c44a9	Synchronous machine inertia constants updating using Wide Area Measurements	
140	c561676f-014e-44f9-bd5c-47e2a1123517	Increasing the available transmission capacity by using a dynamic transient stability limit	
141	6472877e-64e9-4d3d-9f42-0fa538a27e53	Optimal Placement and Sizing of FACTS Devices to Delay Transmission Expansion	
142	b4a6f271-a638-4b72-80ac-e3a695877ce4	A unified framework for frequency control and congestion management	
143	d0f57ffd-2aec-4c71-b371-a1e571baa675	Allocating electricity transmission costs through tracing: a game-theoretic rationale	
144	b5f7f64a-4048-4838-a2ad-50cd679f12f3	Oscillation source location in power systems using logic regression	
145	4d6d9371-546a-4350-9b19-ea199859d9d6	Smart Operation of Smart Grid: Risk-Limiting Dispatch	
146	2f29c073-6501-4b6c-83cf-6dce1d3f0b56	Les tests utilisateurs: avantages et inconvénients des passations individuelles et par paires	
147	dc6c2949-1c54-42ee-af4b-486dc828135b	The Emergence of Knowledge Network in a Turbulent Problem-Solving Environment	
148	80bfce82-2553-432f-8879-3024a8b9f095	The Impact of Communicating Media on Group Decision-making Process and Outcome: An Experimental Study	
149	2f2a1d4c-70c0-48ad-909a-397453a820b1	Ambidextrous Capabilities and Innovation Performance - The Moderating Effect of Entrepreneurial Orientation	
150	2f2a637f-aa40-49df-8cb1-4c37b8894adf	On Improvement of Anchor-Free Localization in Zigbee Sensor Network	
151	c95e5302-1f75-445f-894b-1553d2db8981	Managing data flow in a DAC supporting security system	
152	91202197-307d-4cb3-aad3-6f6bae61f582	Managing Windows NT®file system permissions A security tool to master the complexity of Microsoft Windows NT®file system permissions	
153	2f2a9080-5ea0-4438-9d07-f32f74f37808	Mobile agent security based on payment	
154	3e848953-95ea-4acc-9481-490bbe5435ac	A Fuzzy K-means Clustering Algorithm Using Cluster Center Displacement	
155	e565c67c-8708-4a3e-903d-81e87dbb8beb	A novel approach for fast codebook re-quantization	
156	2f2aa5c7-865d-40b8-9d03-ae16d801d4e4	Fast agglomerative clustering using information of k-nearest neighbors	
157	2b65caac-c6b6-4683-94ec-c179819276fa	Biocuration in the structure–function linkage database: the anatomy of a superfamily	
158	7d28c760-f29f-4f5c-852e-dc9de2f39c00	InterPro in 2017—beyond protein family and domain annotations	
159	50a0f02d-ceb1-4aa7-b266-870a83c2ba9a	Reaction Decoder Tool (RDT): extracting features from chemical reactions.	
160	a71c5adf-98ad-4020-aef7-3f0b1ad96422	MACiE: exploring the diversity of biochemical reactions	
161	9e39bfbf-75c6-4067-ba0b-f2e31c46baa9	Small Molecule Subgraph Detector (SMSD) toolkit	
162	90229e76-ce58-4781-a693-b3044f45c50b	The Confidence Information Ontology: a step towards a standard for asserting confidence in annotations	
163	384a5476-d1f8-4f88-b8c7-038ebcab2c4b	The CoFactor database: organic cofactors in enzyme catalysis	
164	32164e40-377f-45d9-92eb-9b02de85e59f	Creating a specialist protein resource network: a meeting report for the protein bioinformatics and community resources retreat	
165	24ab681d-d345-4834-be6c-a5c1a70aa549	The EBI enzyme portal	
166	0caf28ad-36ac-4a31-8972-97647974d1d3	MACiE (Mechanism, Annotation and Classification in Enzymes): novel tools for searching catalytic mechanisms	
167	06c094cc-6ede-4a21-9ac2-bd0af1032be7	MACiE: a database of enzyme reaction mechanisms	
168	899f7026-7169-473f-b305-55b659040101	Chemical Markup, XML, and the World Wide Web. 6. CMLReact, an XML Vocabulary for Chemical Reactions	
169	6741ee9e-5393-4c9d-be92-a26de6b214d9	FunTree: a resource for exploring the functional evolution of structurally defined enzyme superfamilies	
170	48eadf72-2ca5-434f-a8d3-1d3151bae9bd	Exploring the Evolution of Novel Enzyme Functions within Structurally Defined Protein Superfamilies	
171	2f2aa92f-1074-4bff-bff0-d8b6e3287b15	The Catalytic Site Atlas 2.0: cataloging catalytic sites and residues identified in enzymes	
172	8da2acfb-ddf2-4733-acc1-dfadb35028d1	Amino acid changes in disease-associated variants differ radically from variants observed in the 1000 genomes project dataset.	
173	22a28439-c287-462f-ad40-bdd8365044e4	The Human Phenotype Ontology in 2017	
174	d9fb909d-6770-4ba1-b8b1-957119a6f75a	The Monarch Initiative: an integrative data and analytic platform connecting phenotypes to genotypes across species.	
175	f9de87d1-b086-46d7-bb3f-3f7702939ab4	SIFTS: Structure Integration with Function, Taxonomy and Sequences resource	
176	4b619809-1b4e-4ad4-a21c-0e5cb77cb8cf	Using association rule mining to determine promising secondary phenotyping hypotheses	
177	22161c98-410b-4955-b694-f1568c0eafce	BioJava: an open-source framework for bioinformatics in 2012	
178	3aa68327-4660-4149-9600-0378c6c32670	Obtaining exact steady-state responses in driven undamped oscillators	
179	2f2ac070-4276-464d-b4fb-62cfd2ec5813	Synthesizing recurrence relations I: analysis of the problems	
180	1ab4b8e3-68fc-4be9-a6f5-208b67ad02d8	Box drawings for learning with imbalanced data	
181	2f2af55c-90ac-49e6-98df-248b33ea8bee	Characterization of all solutions for undersampled uncorrelated linear discriminant analysis problems	
182	97853350-c92d-458d-9685-510a8cd1ddb9	Literature review on ERP implementation challenges	
183	2f2b16d1-84ac-459f-9c5e-18cf9ccd5f7c	Feature extraction from large CAD databases using genetic algorithm	
184	66499645-e2c2-41d2-99e6-55394005924d	Routing Cost and Latency in the VillageTelco Wireless Mesh Network	
185	2f2b184d-e5c6-40d2-9549-8700c4a97ddc	STACK: Sequence Tag Alignment and Consensus Knowledgebase	
186	5686eca9-9f97-495e-b0b8-a6def2394373	Minimizing test frequencies for linear analog circuits: new models and efficient solution methods	
187	7c5c4d26-6de0-467f-9c2e-3a1bd00d7294	A Hybrid Direction Algorithm with Long Step Rule for Linear Programming: Numerical Experiments	
188	f8ecd843-7ecc-4b2c-84df-cdede4e5aa00	A hybrid direction algorithm for solving linear programs	
189	665c545a-05df-4147-bdf6-48db7c57a3f5	New techniques for selecting test frequencies for linear analog circuits	
190	2f2b7a3d-5e48-46f2-9a19-71c5c3c5a17b	Efficient minimization of test frequencies for linear analog circuits	
191	d0bc18a6-73a6-47c6-934c-9fdcbac2c5a0	A Global Optimization for Scan Chain Insertion at the RT-level	
192	957d152c-bb49-45d9-9201-d384be7ccf40	A multi-objective optimization for memory BIST sharing using a genetic algorithm	
193	08c107fd-f9ec-49b2-9364-24b257e2b7d1	An Innovative Methodology for Scan Chain Insertion and Analysis at RTL	
194	b0c28e12-d41f-41a6-9d7f-bc8e8e48048f	A shared BIST optimization methodology for memory test	
195	5b936b39-3cb1-4e3d-9c38-c7a4b9627103	A graph-based approach to optimal scan chain stitching using RTL design descriptions	
196	2f2b7bd1-ae8b-4bc1-8e43-95231750f587	A next generation sequence processing and analysis platform with integrated cloud-storage and high performance computing resources	
197	aa28def6-f67f-490b-be7b-ea14c0e3da51	Detection of Lettuce Discoloration Using Hyperspectral Reflectance Imaging.	
198	4df48141-6493-4124-b2e4-b7b92de3578a	Automatic Sensor Data Stream Segmentation for Real-time Activity Prediction in Smart Spaces	
199	2f2bd73b-cc23-403a-8499-b59fd8a27370	Centralized ARP proxy server over SDN controller to cut down ARP broadcast in large-scale data center networks	
200	e6e0e305-1bcb-4391-a437-127596b80695	The Design of Traffic-Aware Intelligent Control System on Software-Defined Cloud Networking	
201	b61666f6-7d53-4bd4-b132-443e076d3a5b	SDN-based resource allocation for heterogeneous LTE and WLAN multi-radio networks	
202	6db951dd-b643-4975-a980-0d5706f78994	The active traffic control mechanism for layered multimedia multicast in active network	
203	30c6f87b-67af-4313-9184-a95e7f5a1bd6	Path-Centric On-Demand Rate Adaptation for Mobile Ad Hoc Networks	
204	87d8cbeb-29e6-4354-b432-519bc9abd2b4	A Landmark-Based Scalable Semantic Resource Discovery Scheme	
205	5f9c08de-020e-4309-bc50-bf796ddcf960	SuVMF: software-defined unified virtual monitoring function for SDN-based large-scale networks	
206	3a36d922-d362-4dfc-9e2d-3ca5b7116d98	IRIS-CoMan: Scalable and Reliable Control and Management Architecture for SDN-Enabled Large-Scale Networks	
207	2f2bfa71-bddc-44be-a181-07bc639a9f09	A geostatistics-assisted approach to the deterministic approximation of climate data	
208	2f2c47f6-77c4-4ecf-a4fb-35c7d63abdff	A Genetic Algorithm with Fuzzy Crossover Operator and Probability	
209	53b79d75-6431-4cf3-bd8c-3f9f279956f7	Maintenance scheduling incorporating dynamics of production system and real-time information from workstations	
210	a1379362-de4b-4b1d-93cb-b05ee4676945	0♯ and some forcing principles	
211	a9c69530-cfd9-4750-9f4a-19b3b713e550	Large cardinals and definable counterexamples to the continuum hypothesis	
212	ac71d525-8a14-40f3-b8c7-30ce50c579c8	The non-compactness of square	
213	6f34f2ce-c8dd-41ed-b9cc-8c166385c12c	Canonical structure in the universe of set theory: Part two	
214	6259e791-d73e-4bf7-9895-338e69189e6d	Diagonal Prikry extensions	
215	5abe21e0-efdd-4ed3-8a14-93651312d5b2	The Consistency Strength of Successive Cardinals with the Tree Property	
216	2f2c5045-46f9-46de-8330-adbb5a8b0791	A very weak square principle	
217	2f2c7b0b-aa5d-49dc-85ba-9b4ff69424c6	Study of feature combination using HMM and SVM for multilingual Odiya speech emotion recognition	
218	966f1040-f654-4902-a16e-4d53ee48cac8	A novel method of glottal inverse filtering	
219	bda0e84b-ee1e-44a6-ab87-4384555abde9	Optimisation of features using evolutionary algorithm for EEG signal classification	
220	501cf3b0-af9b-43ae-87a2-40778dc1f3b7	Tightly coupled algorithm based on nonlinear filtering in the state space with digital map navigation	
221	b3fe1568-2743-4739-b7b6-e08025351025	Algorithm for integrated inertial-satellite navigation systems	
222	2f2ca13d-e58f-4edb-a736-1024f8111707	Universal model of a ground vehicle for realization of integrated inertial-satellite navigation systems	
223	2f2caddd-715c-4af5-a568-ab6efaf86a88	LinuxDirector: a connection director for scalable internet services	
224	317a6eba-9b74-4c13-a65a-757d4c4fda10	Efficient RFID Data Cleaning in Supply Chain Management	
225	9d5ee793-f4b3-4a69-a718-440f3b29b855	Geometric algorithms and data structures for simulating diffusion-limited reactions	
226	ddc78ce7-1de2-4edf-b9a4-cc96bb83a728	PDB4DNA: Implementation of DNA geometry from the Protein Data Bank (PDB) description for Geant4-DNA Monte-Carlo simulations	
227	2f2d26cc-9f12-49fe-bab4-adc537555cc0	Diffusion-controlled reactions modeling in Geant4-DNA	
228	2f2d28d1-4170-4b86-af04-2a14e785a993	An attribute grammar for QRS detection	
229	9a773c86-b7e9-4108-929c-edf408e5315f	The Research on Optimal Green Time For Intersection Groups	
230	2f2d7f00-85c2-4d33-83cc-450d217cfb8a	Displacement fault detection of bearing weight saddle in TFDS based on hough transform and symmetry validation	
231	2f2d9d28-cd93-42a3-9663-67b97c95b3bd	Securing mobile product ecology for mobile commerce (mC)	
232	2f2da32a-1a1b-4d68-8e75-c58f6e50d096	Editorial: Special section: Computer Supported Cooperative Work in Design	
233	fca2941b-6c9d-4f38-9200-b16b3fc63da9	Visual-Haptic Aid Teleoperation Based on 3-D Environment Modeling and Updating	
234	fb58747b-5c3a-4f27-a05b-3f1b35d57cf9	Haptic Display of Image Based on Multi-Feature Extraction	
235	12dbf814-543d-4930-8043-88b600b2045e	One-Therapist to Three-Patient Telerehabilitation Robot System for the Upper Limb after Stroke	
236	7a2daa39-a335-4b3a-881a-32fbe03f1eb2	A Walking Assistant Robotic System for the Visually Impaired Based on Computer Vision and Tactile Perception	
237	67cabb0d-5f70-4171-8fce-0a15aca886e1	The design and implementation of a walking assistant system with vibrotactile indication and voice prompt for the visually impaired	
238	2f2dbcd4-176e-413d-8c01-df7631c1e807	Navigation system for the visually impaired individuals with the kinect and vibrotactile belt	
