id_n	name_s
429	Charuta Nakhe
430	Soumen Chakrabarti
431	S. Sudarshan
432	Mireia Farrús
433	Michael Wagner
434	Jan Anguita
435	Javier Hernando
436	Adler Diniz de Souza
437	Ana Regina Rocha
438	Giuseppe Attardi
439	Antonio Cisternino
440	Francesco Formica
441	Maria Simi
442	Alessandro Tommasi
443	Mats Ljungqvist
444	Anders Lindström
445	Kjell Gustafson
446	Aurora Tulilaulu
447	Joonas Paalasmaa
448	Mikko Waris
449	Hannu Toivonen
450	András Takács
451	László Bokor
452	Céline Fiot
453	Florent Masseglia
454	Anne Laurent
455	Maguelonne Teisseire
456	Tatsuya Kawahara
457	Toru Ogawa
458	Shigeyoshi Kitazawa
459	Shuji Doshita
460	Ralf Reulke
461	Dominik Rueß
462	Kristian Manthey
463	Andreas Luber
464	Stephan Busemann
465	Xiao‐Jun Zhou
466	Ji Luo
467	Jennifer Lennon
468	Hermann A. Maurer
469	Sheila Mcllraith
470	Tran Cao Son
471	Honglei Zeng
472	Siddharth Gopal
473	Yiming Yang
474	Adam Wojciechowski
475	Krzysztof Fornalczyk
476	Lisa-Jane Brown
477	John Locke
478	Peter Blundell Jones
479	Sandra P. Whiteside
480	Tatsuya Yamaguchi
481	Takashi Kawashimo
482	Toshiyuki Matsumoto
483	Daisuke Doyo
484	Kedian Mu
485	Zhi Jin
486	Ruqian Lu
487	Matthew L. Ginsberg
488	Michael Patrick Frank
489	Michael P. Halpin
490	Mark C. Torrance
491	João Laranjeira
492	Carlos Filipe Freitas
493	Goreti Marreiros
494	Carlos Ramos
495	João Carneiro
496	Andrzej Ehrenfeucht
497	Hendrik Jan Hoogeboom
498	Grzegorz Rozenberg
499	John N. Martin
500	Krzysztof Goczyła
501	Wojciech Waloszek
502	Aleksander Waloszek
503	Rolly Intan
504	Masao Mukaidono
505	Boaz Ben-Moshe
506	Binay K. Bhattacharya
507	Qiaosheng Shi
508	Samir R. Das
509	Richard M. Fujimoto
510	Andreas Baudisch
511	Won-Ho Lee
512	Kee-Won Kim
513	Nam-Yeun Kim
514	Kee-Young Yoo
515	Chang Hoon Kim
516	Chun Pyo Hong
517	Ana Claudia de Paula Silva
518	Geilson Loureiro
519	Walid A. Al-Hussaibi
520	Falah H. Ali
521	Siu Wa Lee
522	Frank K. Soong
523	Pak-Chung Ching
524	Francisco O. Redelico
525	Araceli N. Proto
526	William A. Woods
527	Matthew D. Johnson
528	Susan Bull
529	Thilo Schuler
530	Sebastian Garde
531	Sam Heard
532	T. A. W. Beale
533	Rohit Kumar 0001
534	Carolyn Penstein Rosé
535	Umit H. Yapanel
536	X. Zhang
537	John H. L. Hansen
538	Masami Ito
539	Chongwon Cho
540	Rafail Ostrovsky
541	Alessandra Scafuro
542	Ivan Visconti
543	Martin Gogolla
544	Helena Vranesic
545	Christoph Rosenkranz
546	Jingtao Yao
547	Yan Zhang
548	Prokopios Drogkaris
549	Stefanos Gritzalis
550	Qifeng Zhu 0001
551	Markus Iseli
552	Xiaodong Cui
553	Abeer Alwan
554	Sheng-Long Lv
555	Zhi-Hong Deng
556	Hang Yu
557	Ning Gao
558	Jia-Jian Jiang
559	Andrew J. Best
560	Balasubramaniam Natarajan
561	Hui Yang
562	Rajesh Swaminathan
563	Abhishek Sharma
564	Vilas Ketkar
565	Jason de Lima e Silva
566	John Rosenberg
567	James Leslie Keedy
568	Vivy Suhendra
569	Marc Abrams
570	David R. Mudgett
571	Yong Chen
572	Surendra Byna
573	Xian-He Sun
574	Rajeev Thakur
575	William Gropp
576	Frank Philip Seth
577	Ossi Taipale
578	Kari Smolander
579	Olegs Verhodubs
580	Aitor Mendaza-Ormaza
581	Oscar Miguel-Hurtado
582	Ivan Rubio-Polo
583	Raul Alonso-Moreno
584	Owen P. Kenny
585	Douglas J. Nelson
586	Annan Li
587	Luoqi Liu
588	Shuicheng Yan
589	Alberto O. Mendelzon
590	Imène Bessedik
591	Noria Taghezout
592	Marc Frappier
593	Benoît Fraikin
594	Frédéric Gervais
595	Régine Laleau
596	Mario Richard
597	Aistis Raudys
598	Vaidotas Lenčiauskas
599	Edmundas Malčius
600	Richard C. H. Connor
601	Stewart MacKenzie-Leigh
602	Robert George Moss
603	Tim Reichling
604	Andreas Becks
605	Oliver Bresser
606	Volker Wulf
607	Yoshihiro Kawai
608	Fumiaki Tomita
609	Jianying Gu
610	Jennifer L. Neary
611	Audrey Moshfeghian
612	Hong Cai
613	Sos S. Agaian
614	Timothy Lilburn
615	Yufeng Wang
616	Chunfeng Liu
617	Haiming Wu
618	Jincai Chang
619	Jon T. Butler
620	Henning Wachsmuth
621	Mirko Rose
622	Gregor Engels
623	Jean-François Baget
624	Yuting Tao
625	Jian Yang
626	Nasser Sherkat
627	Chi-Hsien Victor Shih
628	Peter Thomas
629	Joaquin Gracia
630	Juan Carlos Baraza
631	Daniel Gil
632	Pedro J. Gil
633	João Pedro Cerveira Cordeiro
634	Gilberto Câmara
635	Ubirajara F. Moura
636	Cláudio Clemente Faria Barbosa
637	Felipe Schaedler de Almeida
638	Shyh Wei Teng
639	Kai Ming Ting
640	Andy Hospodor
641	Ethan L. Miller
642	Marco Cadoli
643	Marco Schaerf
644	Yohsuke Kinouchi
645	Lei Zhang
646	Xuan Zhang
647	Meiping Chai
648	Yibing Tan
649	Shigeru Miyake
650	Yoji Taniguchi
651	Jun Hosoya
652	Ryota Mibe
653	Lucas Paletta
654	Gerhard Paar
655	Sherif M. Yacoub
656	Hany H. Ammar
657	Dennis Abts
658	Marco Corazza
659	Stefania Funari
660	Riccardo Gusso
661	Catalin David
662	Constantin Jucovschi
663	Andrea Kohlhase
664	Michael Kohlhase
665	Estefania Argente
666	Vicente Julián
667	Soledad Valero
668	Vicente J. Botti
669	Sinnojialin Pan
670	James Tin Yau Kwok
671	Qiang Yang
672	JeffreyJunfeng Pan
673	Mitsuru Shiozaki
674	Toru Mukai
675	M. Ono
676	M. Sasaki
677	Atsushi Iwata
678	Jeffrey M. DiCarlo
679	Brian A. Wandell
680	Hannes Kenngott
681	Jochen Neuhaus
682	Carsten N. Gutt
683	Ivo Wolf
684	Hans-Peter Meinzer
685	Marcus Vetter
686	Murat Komesli
687	Tuncay Ercan
688	Gökçe Özdemir
689	Akio Sashima
690	Koichi Kurumatani
691	Stephan Zednik
692	James R. Michaelis
693	Peter A. Fox
694	Wladyslaw Homenda
695	Mariusz Rybnik
696	Monica J. Garfield
697	Getahun Semeon Weldemariam
698	Million Meshesha
699	Dessa David
700	Rion Snow
701	Sushant Prakash
702	Daniel Jurafsky
703	Andrew Y. Ng
704	Nematollaah Shiri
705	Zhi Hong Zheng
706	Andreas Spillner 0002
707	Yolanta Beres
708	Jonathan Griffin
709	Luís Felipe I. Cunha
710	Luis Antonio Brasil Kowada
711	Rodrigo de A. Hausen
712	Celina M. Herrera de Figueiredo
713	Rui Hu
714	Vadim Mazalov
715	Stephen M. Watt
716	Elisabeth Pelz
717	Vojtech Huser
718	James J. Cimino
719	Hongxia Wang
720	Gui Ye
721	Chuanjing Ju
722	Peyman Afshani
723	Timothy M. Chan
724	Nigel Collier
725	Alexander Bertram
726	Sebastian Iwanowski
727	Kiril Simov
728	Gillat Kol
729	Ran Raz
730	Taimur Qureshi
731	Djamel Abdelkader Zighed
732	Janusz Kacprzyk
733	Gabriella Pasi
734	Peter Vojtáš
735	Sławomir Zadrożny
736	Etsuo Kawada
737	Philip S. Yu
738	Peter Sarlin
739	Tomas Eklund
740	Burkhard Corves
741	Tom Mannheim
742	Martin Riedel
743	Teresa W. Haynes
744	Adnan Umar
745	James J. Sluss
746	Pramode K. Verma
747	Geert-Jan Houben
748	Peter A. C. Verkoulen
749	Klaus Beulen
750	Lutz Welling
751	Hermann Ney
752	Anna Grimán
753	María A. Pérez
754	Luis Eduardo Mendoza
755	Edumilis Maria Méndez
756	Alistair G. Sutcliffe
757	Ian Bennett
758	Ann Doubleday
759	Michele Ryan
760	Dongyun Liu
761	Hong Mei
762	Ciro D'Apice
763	Simone Gttlich
764	Michael Herty
765	Benedetto Piccoli
766	María Fernández-Ropero
767	Ricardo Pérez-Castillo
768	Barbara Weber
769	Mario Piattini
770	Weisong Shi
771	Cheng Zhong Xu
772	Xiaobo Zhou
773	Nobuyoshi Kaiki
774	Katsuhiko Mimura
775	Yoshinori Sagisaka
776	Joxan Jaffar
777	Jean-Louis Lassez
778	Jacques Ferber
779	Frédéric Koriche
780	John Tranier
781	Miguel A. Barron
782	Dulce Y. Medina
783	I. Hilerio
784	Antonio A. Márquez
785	Francisco Alfredo Márquez
786	Antonio Peregrín
787	Amarendran R. Subramanian
788	Patrick Barlatier
789	Richard Dapoigny
790	Shuo Chen
791	John Dunagan
792	Chad Verbowski
793	Yi-Min Wang
794	Vic Grout
795	Stuart Cunningham
796	Rich Hebblewhite
797	Hyeon-Mi Yang
798	Sea-Ho Kim
799	Yang-Ki Cho
800	Joo-Shin Lee
801	Hi-Seok Kim
802	Emilie West Gould
803	Makoto J. Hirayama
804	Taro Sugahara
805	Zhiyong Peng
806	Junichi Yamazaki
807	Richard T. Vidgen
808	Sabine Madsen
809	Karlheinz Kautz
810	Antonio Neme
811	Leticia Hernández
812	Deqiang Han
813	Jean Dezert
814	Yi Yang
815	Janusz Brzozowski
816	Baiyu Li
817	Yuli Ye
818	Stephen W
819	Jonathan Allen
820	J. Duley
821	Manfred Broy
822	Martin Wirsing
823	N. Sai Shankar
824	Sunghyun Choi
825	Ronald L. Rivest
826	Matthew J. B. Robshaw
827	Yiqun Lisa Yin
828	Jiri Lebl
829	Daniel Lichtblau
830	Sea Ling
831	Bohdan Durnota
832	Minzhong LiuP
833	Xiufen ZouP
834	Lishan KangP
835	Hiroshi Dozono
836	Shinsuke Ito
837	Hisao Tokushima
838	Masanori Nakakuni
839	Pierluca Di Cagno
840	Bianca D’Agostinis
841	Barbara Livieri
842	Helves Humberto Domingues
843	Fabio Kon
844	João Eduardo Ferreira
845	Pen Chung Yew
846	Francisco Gordillo
847	Ismael Alcalá
848	Javier Aracil
849	Martin Schickel
850	Volker Nimbler
851	Martin Braun
852	Hans Eveking
853	E. Douglas Jensen
854	Jay S. Bayne
855	Kirk Rheinholtz
856	Michael W. Masters
857	Thomas F. Saunders
858	Dursun Delen
859	David B. Pratt
860	Manjunath Kamath
861	Philippe Borianne
862	Gérard Subsol
863	Tristan Whitmarsh
864	Luis Miguel del Río Barquero
865	Silvana Di Gregorio
866	Jorge Malouf Sierra
867	Ludovic Humbert
868	Alejandro F. Frangi
869	Pavel Krömer
870	Jan Platos
871	Vaclav Snasel
872	Clifford Nass
873	Li Gong
874	Don Libes
875	David W. Flater
876	Evan K. Wallace
877	Michelle Potts Steves
878	Allison Barnard Feeney
879	Edward Barkmeyer
880	Donna D. Cumberland
881	Randy Herban
882	Rick Irvine
883	Michael Shuey
884	Mathieu Luisier
885	Nathan P. Johnson
886	James H. Graham
887	José Júlio Alferes
888	Antonio Brogi
889	João Leite
890	Luís Moniz Pereira
891	Dalila Boughaci
892	Habiba Drias
893	Peter J. Cameron
894	John Jenq
895	Wing Ning Li
896	Roger E. Kirk
897	André Chailloux
898	Iordanis Kerenidis
899	P. Melin
900	Felma Gonzalez
901	Gabriela E. Martinez
902	Stphane Airiau
903	Ulle Endriss
904	Umberto Grandi
905	Daniele Porello
906	Joel Uckelman
907	Laurent Amanton
908	Mohamed Naimi
909	Francois Caron
910	Emily B. Fox
911	Ali Hasnain
912	Syeda Sana e Zainab
913	Maulik R. Kamdar
914	Qaiser Mehmood
915	Claude N. Warren
916	Qurratal Ain Fatimah
917	Helena F. Deus
918	Muntazir Mehdi
919	Stefan Decker
920	Nachiappan Veerappan Nachiappan
921	Jarred Blount
922	J. Nelson Rushton
923	Hiroyuki Hatakeyama
924	Shingo Mabu
925	Kotaro Hirasawa
926	Jinglu Hu
927	Vikram Singh Saun
928	Suman Chatterjee
929	Anand Arunachalam
930	Daniel S. Schneider
931	Jano Moreira de Souza
932	Ercilia de Stefano
933	Nurjahan Begum
934	Bing Hu 0001
935	Thanawin Rakthanmanon
936	Eamonn J. Keogh
937	Monika Malinova
938	Jan Mendling
939	Chao-Tung Yang
940	Tzu-Chieh Chang
941	Kuan-Lung Huang
942	Jung-Chun Liu
943	Chih-Hung Chang
944	Surajit Chaudhuri
945	Eric R. Christensen
946	Goetz Graefe
947	Vivek R. Narasayya
948	Michael James Zwilling
949	Yongsheng Bai
950	Bob P. Weems
951	Rachel Pottinger
952	Limin Xiang
953	Kazuo Ushijima
954	Congnan Luo
955	Soon Myoung Chung
956	Agnieszka Nowak-Brzezińska
957	Tomasz Jach
958	C. Graciani Díaz
959	Francisco-Jesús Martín-Mateos
960	Mario J. Pérez-Jiménez
961	José Miguel Díaz-Báñez
962	Francisco Gómez
963	Ferran Hurtado
964	Matthias Gräuler
965	Yazid Attabi
966	Pierre Dumouchel
967	Dilkeshwar Pandey
968	Rajive Kumar
969	Ramón Alonso-Sanz
970	Larry Bull
971	Godfrey Omoda-Onyait
972	Jude T. Lubega
973	Gilbert Maiga
974	R. Angole
975	Jean-Marc Petit
976	Farouk Toumani
977	Ricardo M. Czekster
978	Paulo Fernandes
979	Afonso Sales
980	Dione Taschetto
981	Thais Webber
982	Jorge Puente
983	Ramiro Varela
984	Camino R. Vela
985	César Luis Alonso
986	Haftu Hailu
987	Kassu Jilcha
988	Eshetie Birhan
989	Xavier Chabot
990	Roger B. Dannenberg
991	Georges Bloch
992	Amar Krishna
993	Joseph Zambreno
994	Sandeep Krishnan
995	Yuka Takai
996	Masahiko Yamada
997	Akihiko Goto
998	Wang Zelong
999	Akira
1000	Masahiko Sato
1001	Randy Pollack
1002	Seonah Lee
1003	Sungwon Kang
1004	Tobias Mettler
1005	David Raber
1006	Hagen Hoffmann
1007	Fabian H. P. Chan
1008	Ali Chekima
1009	Augustina Sitiol
1010	S. M. A. Kalaiarasi
1011	Michał Romaszewski
1012	Piotr Gawron
1013	Przemysław Głomb
1014	Soeli T. Fiorini
1015	Julio Cesar Sampaio do Prado Leite
1016	Carlos José Pereira de Lucena
1017	Robin Aly
1018	Anne Schlicht
1019	Heiner Stuckenschmidt
1020	Zhongchao Shi
1021	Ryosuke Shibasaki
1022	Ilya Levner
1023	Vadim Bulitko
1024	André Ahuja
1025	Wilhelm Rödder
1026	Tadahiko Kumamoto
1027	Tomoya Suzuki
1028	Hitomi Wada
1029	Bart Fevery
1030	Bart Wyns
1031	Luc Boullart
1032	J.R. Llata Garcia
1033	C. Torre Ferrero
1034	Alexander Felfernig
1035	Gerhard Friedrich
1036	Monika Schubert
1037	Monika Mandl
1038	Markus Mairitsch
1039	Erich Christian Teppan
1040	Jose Maria Elvira
1041	Juan Carlos Torrecilla
1042	Javier Caminero
1043	Oleg M. Tikhonenko
1044	Wojciech M. Kempa
1045	Jae Hyung Cho
1046	Hyun Soo Kim
1047	Hyung Rim Choi
1048	Jae Un Jung
1049	Reeva Lederman
1050	Gregory Wadley
1051	John Gleeson
1052	Mario Alvarez-Jimenez
1053	Anneliese Spiteri-Staines
1054	Tim Baarslag
1055	Mark Hendrikx
1056	Koen V. Hindriks
1057	Catholijn M. Jonker
1058	Michael H. Bowling
1059	Manuela M. Veloso
1060	Shlomo Dubnov
1061	Gérard Assayag
1062	Ran El-Yaniv
1063	R. Uday Kiran
1064	Masaru Kitsuregawa
1065	M. V. Nagendra Prasad
1066	Susan E. Lander
1067	Victor R. Lesser
1068	Satoshi Tojo
1069	Hideki Yasukawa
1070	Agnès Conte
1071	Mounia Fredj
1072	Jean-Pierre Giraudin
1073	Dominique Rieu
1074	Elizabeth S. Burnside
1075	Daniel L. Rubin
1076	Ross D. Shachter
1077	Ren Kanehira
1078	Weiping Yang
1079	Miyoko Tateishi
1080	Makoto Yagihashi
1081	Hirohisa Narita
1082	Hideo Fujimoto
1083	Kyungdoh Kim
1084	Robert W. Proctor
1085	Gavriel Salvendy
1086	José Ignacio Aliaga
1087	Francisco Almeida
1088	José M. Badía
1089	Sergio Barrachina
1090	Vicente Blanco Pérez
1091	Maribel Castillo
1092	Rafael Mayo
1093	Enrique S. Quintana-Ortí
1094	Gregorio Quintana-Ortí
1095	Casiano Rodríguez
1096	Francisco de Sande
1097	A. Santos
1098	Florian Schiel
1099	Hannes Mögele
1100	Xuchang Zou
1101	Raffaella Settimi
1102	Jane Cleland-Huang
1103	Shrabonti Ghosh
1104	Sk Safikul Alam
1105	Christin Seifert
1106	Eva Ulbrich
1107	Michael Granitzer
1108	Mauro Prevostini
1109	Sivakumar Ganesan
1110	Leandro Loss
1111	Ricardo J. Rabelo
1112	Alexandra A. Pereira-Klen
1113	Edgard Thomas Martins
1114	Isnard Thomas Martins
1115	Marcelo Márcio Soares
1116	Francesca Cordella
1117	Francesco Di Corato
1118	Loredana Zollo
1119	Bruno Siciliano
1120	Jörg Becker
1121	Dominic Breuker
1122	Patrick Delfmann
1123	Hanns-Alexander Dietrich
1124	Matthias Steinhorst
1125	Youssef Amghar
1126	Madjid Meziane
1127	Adrianna Kozierkiewicz-Hetmańska
1128	Rafał Poniatowski
1129	Daniel N. Klein
1130	José Maria Duarte
1131	Magalí González
1132	Luca Cernuzzi
1133	Oscar Pastor
1134	HamidReza Haydari
1135	Ali Moeini
1136	MahdiReza Mohajerani
1137	Shoei Sato
1138	Kazuo Onoe
1139	Akio Kobayashi
1140	Shinichi Homma
1141	Toru Imai
1142	Tohru Takagi
1143	Tetsunori Kobayashi
1144	Jesus Crespo
1145	Juan Carlos Galende Díaz
1146	Pimitivo Matas
1147	Fadoua Ataa-Allah
1148	Siham Boulaknadel
1149	Nitin Kanaskar
